symbol,quantity,avg_price,current_price,confidence,signal_type,last_updated
JHAPA,10,1482.83,1559.77,84.61,ACCUMULATION,2026-04-23 17:47:19
MABEL,15,684.62,684.62,60.0,ACCUMULATION,2026-04-22 13:42:55.287724
AKJCL,10,386.05,386.05,82.8,ACCUMULATION,2026-04-23 17:47:19
RSML,10,4316.37,4316.37,86.88,BREAKOUT,2026-04-23 17:47:19
SOHL,10,803.94,803.94,69.43,ACCUMULATION,2026-04-23 17:47:19
RIDI,10,355.66,355.66,70.3,ACCUMULATION,2026-04-23 17:47:19
NHPC,10,307.86,307.86,66.15,ACCUMULATION,2026-04-23 17:47:19
API,10,339.02,339.02,72.31,ACCUMULATION,2026-04-23 17:47:19
HDHPC,10,231.96,231.96,67.62,ACCUMULATION,2026-04-23 17:47:19
HRL,10,687.22,687.22,71.41,ACCUMULATION,2026-04-23 17:47:19
KBL,10,222.4,222.4,67.67,ACCUMULATION,2026-04-23 17:47:19
BEDC,10,396.39,396.39,75.01,ACCUMULATION,2026-04-23 17:47:19
HFIN,10,1175.09,1175.09,66.54,ACCUMULATION,2026-04-23 17:47:19
NGPL,10,445.78,445.78,69.49,ACCUMULATION,2026-04-23 17:47:19
NABBC,10,1230.0,1230.0,83.71,ACCUMULATION,2026-04-23 17:47:20
HBL,10,207.35,207.35,72.06,ACCUMULATION,2026-04-23 17:47:20
HURJA,10,262.59,262.59,65.99,ACCUMULATION,2026-04-23 17:47:20
PRVU,10,200.91,200.91,64.63,ACCUMULATION,2026-04-23 17:47:20
SAPDBL,10,817.93,817.93,74.77,ACCUMULATION,2026-04-23 17:47:20
NRN,10,1508.19,1508.19,65.62,ACCUMULATION,2026-04-23 17:47:20
RLEL,10,1305.64,1305.64,59.77,ACCUMULATION,2026-04-23 17:47:20
